Edad,Ano ,Origen,lx
8,2021,Espana,437213
9,2021,Espana,450057
10,2021,Espana,460345
11,2021,Espana,468158
12,2021,Espana,490287
13,2021,Espana,469317
14,2021,Espana,462503
15,2021,Espana,448334
16,2021,Espana,439422
17,2021,Espana,426970
18,2021,Espana,405949
19,2021,Espana,396636
20,2021,Espana,390235
21,2021,Espana,374277
22,2021,Espana,359861
23,2021,Espana,363800
24,2021,Espana,357551
25,2021,Espana,357142
26,2021,Espana,362115
27,2021,Espana,376969
28,2021,Espana,389950
29,2021,Espana,387470
30,2021,Espana,390999
31,2021,Espana,397607
32,2021,Espana,405123
33,2021,Espana,411424
34,2021,Espana,423884
35,2021,Espana,440352
36,2021,Espana,459524
37,2021,Espana,477273
38,2021,Espana,505818
39,2021,Espana,532992
40,2021,Espana,561583
41,2021,Espana,584150
42,2021,Espana,618164
43,2021,Espana,630191
44,2021,Espana,647954
45,2021,Espana,645545
46,2021,Espana,642564
47,2021,Espana,629291
48,2021,Espana,626856
49,2021,Espana,619988
50,2021,Espana,610839
51,2021,Espana,608895
52,2021,Espana,604749
53,2021,Espana,614588
54,2021,Espana,602738
55,2021,Espana,600673
56,2021,Espana,613870
57,2021,Espana,584342
58,2021,Espana,567580
59,2021,Espana,560335
60,2021,Espana,563466
61,2021,Espana,550888
62,2021,Espana,538550
63,2021,Espana,526723
64,2021,Espana,488498
65,2021,Espana,474448
66,2021,Espana,450844
67,2021,Espana,452713
68,2021,Espana,449042
69,2021,Espana,419084
70,2021,Espana,405540
71,2021,Espana,421744
72,2021,Espana,439205
73,2021,Espana,395230
74,2021,Espana,374082
75,2021,Espana,389413
76,2021,Espana,362940
77,2021,Espana,352498
78,2021,Espana,295457
79,2021,Espana,266252
80,2021,Espana,320919
81,2021,Espana,200971
82,2021,Espana,222787
83,2021,Espana,241128
84,2021,Espana,250740
85,2021,Espana,229348
86,2021,Espana,211703
87,2021,Espana,197632
88,2021,Espana,177073
89,2021,Espana,148042
90,2021,Espana,555904
0,2022,Espana,334661
1,2022,Espana,339751
2,2022,Espana,349550
3,2022,Espana,363325
4,2022,Espana,383286
5,2022,Espana,399561
6,2022,Espana,407354
7,2022,Espana,413353
8,2022,Espana,409772
9,2022,Espana,436602
10,2022,Espana,449018
11,2022,Espana,459293
12,2022,Espana,467326
13,2022,Espana,489439
14,2022,Espana,468788
15,2022,Espana,462572
16,2022,Espana,447894
17,2022,Espana,438463
18,2022,Espana,426534
19,2022,Espana,405953
20,2022,Espana,396298
21,2022,Espana,389744
22,2022,Espana,373714
23,2022,Espana,359189
24,2022,Espana,363016
25,2022,Espana,356636
26,2022,Espana,355917
27,2022,Espana,360742
28,2022,Espana,375615
29,2022,Espana,388489
30,2022,Espana,386110
31,2022,Espana,389731
32,2022,Espana,396420
33,2022,Espana,404054
34,2022,Espana,410470
35,2022,Espana,423060
36,2022,Espana,439672
37,2022,Espana,458836
38,2022,Espana,476523
39,2022,Espana,505150
40,2022,Espana,532262
41,2022,Espana,560738
42,2022,Espana,583176
43,2022,Espana,617122
44,2022,Espana,629209
45,2022,Espana,647104
46,2022,Espana,644481
47,2022,Espana,641507
48,2022,Espana,628160
49,2022,Espana,625609
50,2022,Espana,618688
51,2022,Espana,609371
52,2022,Espana,607254
53,2022,Espana,602888
54,2022,Espana,612552
55,2022,Espana,600502
56,2022,Espana,598245
57,2022,Espana,611128
58,2022,Espana,581618
59,2022,Espana,564467
60,2022,Espana,557222
61,2022,Espana,559974
62,2022,Espana,547092
63,2022,Espana,534420
64,2022,Espana,522493
65,2022,Espana,484365
66,2022,Espana,469984
67,2022,Espana,446291
68,2022,Espana,447599
69,2022,Espana,443587
70,2022,Espana,413787
